DateMonth,client,noOfTickets
2018/04,CATLIN,54
2018/04,CFS,48
2018/04,CHIMERA,3
2018/04,COAL,10
2018/04,COMPASS,12
2018/04,CSAM,38
2018/04,DAWM,593
2018/04,DISNEY,15
2018/04,DLG,22
2018/04,DTCC,34
2018/04,DYNEX,4
2018/04,EASTSPRING,109
2018/04,EATONVANCE,73
2018/04,ENDUR,64
2018/04,ENS,12
2018/04,EQUITRUST,8
2018/04,EdwardJones,6
2018/04,FANNIEMAE,6
2018/04,FITB,37
2018/04,FRBNY,4
2018/04,FRE,44
2018/04,GAFG,36
2018/04,GEAM,20
2018/04,GENWORTH,16
2018/04,GIC,73
2018/04,GMAC,14
2018/04,GOOGLE,3
2018/04,GREYCASTLE,2
2018/04,GSMM,2
2018/04,GUGGENHEIM,48
2018/04,HCSC,13
2018/04,HIC,15
2018/04,HIERS,16
2018/04,HIM,108
2018/04,HMANN,8
2018/04,HORIZON,12
2018/04,IIM,65
2018/04,ILLTRS,27
2018/04,ING,96
2018/04,INVESCO,122
2018/04,ISSSTE,8
2018/04,JAGUAR,4
2018/04,JPM-Pension,4
2018/04,JPM-Team,45
2018/04,JUPITER,24
2018/04,KRK,25
2018/04,LANC,68
2018/04,LCP,19
2018/04,LMGINV,53
2018/04,LW1,15
2018/04,Latvijas Banka,13
2018/04,MEAG,30
2018/04,MERCK,17
2018/04,METAFORE,3
2018/04,METLIFE,53
2018/04,MHTB,1
2018/04,MICHELIN,3
2018/04,MIZUHO,40
2018/04,MIZUHOBANK,11
2018/04,MO1,4
2018/04,MS-INS,2
2018/04,MSIM,114
2018/04,NBG,99
2018/04,NDRIO,10
2018/04,NGUKPS,5
2018/04,NJM,6
2018/04,NLI,1
2018/04,NMXERB,40
2018/04,NOKIA,8
2018/04,NOVAE,4
2018/04,NT,11
2018/04,NTGA,9
2018/04,NTGI,41
2018/04,NWM,23
2018/04,NYLIM,143
2018/04,NYSCRF,55
2018/04,NYSIF,10
2018/04,ONEAMERICA,11
2018/04,ONEWEST,12
2018/04,ONFA,7
2018/04,OREGON,28
2018/04,PARTNERRE,7
2018/04,PB2,21
2018/04,PBGC,10
2018/04,PD1,91
2018/04,PFA,9
2018/04,PG1,46
2018/04,PIONEER,94
2018/04,PNC,107
2018/04,PPF,61
2018/04,PPMG,120
2018/04,PRINCIPAL,33
2018/04,PRU,119
2018/04,PRUGP,10
2018/04,PSERS,6
2018/04,QIC,25
2018/04,QUALCOMM,20
2018/04,RAYTHEON,43
2018/04,RED,60
2018/04,REGIONS,22
2018/04,RENRE,26
2018/04,REUTERS,12
2018/04,RGA,27
2018/04,RVSI,341
2018/04,SCHRODERS,128
